id_consulta,tipo_tarefa,pergunta,resposta,arquitetura,tempo_resposta_seg,ferramenta_esperada,ferramenta_usada,erro,timestamp_inicio,timestamp_fim,referencia_tipo,referencia_url_esperada,referencia_codigo_linha,referencia_letreiro,referencia_sentido_descricao,referencia_erro,referencia_observacao,referencia_timestamp_inicio,referencia_timestamp_fim,referencia_linha_resolvida,referencia_horarios_esperados,referencia_rota_tempo_total_min,referencia_rota_distancia_total_km,referencia_rota_qtd_baldeacoes,referencia_rota_linhas_utilizadas,referencia_rota_pontos_embarque,referencia_rota_pontos_desembarque,referencia_faq_pergunta,referencia_faq_resposta,referencia_faq_texto,referencia_faq_categoria,referencia_faq_similaridade_pergunta,referencia_faq_score,pef,acuracia,completude,delta_temporal_status_seg,delta_temporal_horarios_seg,delta_temporal_rotas_seg,atualidade,qoi
R022,rota,"Quero ir de ônibus do Terminal Itaquera até o MASP, na Avenida Paulista.","Para ir do Terminal Itaquera até o MASP na Avenida Paulista, você pode seguir o seguinte trajeto:

1. **Caminhada**: Ande até a Rua Dr. Luiz Aires, 3405 - Parada Metrô Itaquera (0.2 km) - Duração: 2 minutos.
2. **Ônibus**: Pegue o ônibus da linha **4310-10** (Estação de Transferência Itaquera / Terminal Parque Dom Pedro II) em direção ao Terminal Parque Dom Pedro II. 
   - **Saída**: 8:57 AM
   - **Chegada**: 9:43 AM
   - Distância: 16.9 km
3. **Ônibus**: Em seguida, pegue o ônibus da linha **5630-10** (Terminal Grajaú / ↕ Brás) em direção ao Terminal Grajaú.
   - **Saída**: 9:49 AM
   - **Chegada**: 9:53 AM
   - Distância: 1.0 km
4. **Ônibus**: Depois, pegue o ônibus da linha **6403-10** (Terminal João Dias / Terminal Parque Dom Pedro II) em direção ao Terminal João Dias.
   - **Saída**: 10:03 AM
   - **Chegada**: 10:15 AM
   - Distância: 4.3 km
5. **Caminhada**: Por fim, ande até o MASP na Avenida Paulista, 1578 - Bela Vista (0.4 km) - Duração: 7 minutos.

**Duração total estimada**: 1 hora e 26 minutos.",monoagente,6.7337,consultar_rota,consultar_rota,,2026-06-30T08:49:17.987763,2026-06-30T08:49:24.720875,rota,,,,,,,2026-06-30T08:49:17.187827,2026-06-30T08:49:17.987763,,,86,22.71,2,4310-10|5630-10|6403-10,"Rua Dr. Luiz Aires, 3405 - Parada Metrô Itaquera|Av. Alcântara Machado, 91|Av. Mercúrio, Oposto Nº 180","Av. Alcântara Machado, 91|Av. Mercúrio, Oposto Nº 180|Getúlio Vargas C/B 1",,,,,,,1,0.72,1.0,,,6.7331,1.0,0.906667
R023,rota,Qual rota de ônibus faço do Terminal São Mateus até o Terminal Parque Dom Pedro II?,"A rota de ônibus do Terminal São Mateus até o Terminal Parque Dom Pedro II é a seguinte:

- **Linha:** 4311-10 - Terminal São Mateus / Terminal Parque Dom Pedro II via Aricanduva-Radial Leste
- **Duração total:** 1 hora e 6 minutos
- **Distância:** 24,5 km

**Detalhes da viagem:**
- **Saída:** Terminal de São Mateus
- **Chegada:** Terminal Parque Dom Pedro II
- **Horário de saída:** 8:54 AM
- **Horário de chegada:** 9:55 AM

Após chegar ao Terminal Parque Dom Pedro II, você precisará caminhar 0,3 km, o que levará cerca de 5 minutos.",monoagente,3.7634,consultar_rota,consultar_rota,,2026-06-30T08:49:25.640798,2026-06-30T08:49:29.399032,rota,,,,,,,2026-06-30T08:49:24.724902,2026-06-30T08:49:25.640798,,,66,24.52,0,4311-10,Terminal de São Mateus,Terminal Parque Dom Pedro II,,,,,,,1,1.0,1.0,,,3.7582,1.0,1.000000
R024,rota,Como ir de ônibus do Terminal São Mateus até o Shopping Aricanduva?,"Para ir de ônibus do Terminal São Mateus até o Shopping Aricanduva, você pode seguir o seguinte trajeto:

1. **Pegue o ônibus**:
   - **Linha**: 4311-10 - Terminal São Mateus / Terminal Parque Dom Pedro II via Aricanduva-Radial Leste
   - **Saída**: Terminal de São Mateus
   - **Chegada**: Av. Aricanduva, 6599
   - **Duração**: aproximadamente 19 minutos

2. **Caminhe**:
   - **Distância**: 1.3 km até o Shopping Aricanduva
   - **Duração**: aproximadamente 19 minutos

**Duração total**: cerca de 38 minutos. 

Certifique-se de verificar os horários do ônibus para planejar sua viagem!",monoagente,4.4138,consultar_rota,consultar_rota,,2026-06-30T08:49:30.323863,2026-06-30T08:49:34.737442,rota,,,,,,,2026-06-30T08:49:29.399032,2026-06-30T08:49:30.323863,,,38,9.01,0,4311-10,Terminal de São Mateus,"Av. Aricanduva, 6599",,,,,,,1,1.0,1.0,,,4.4136,1.0,1.000000
R025,rota,Como chegar de ônibus do Terminal Guaianases até o Terminal Parque Dom Pedro II?,"Para chegar do Terminal Guaianases até o Terminal Parque Dom Pedro II de ônibus, siga este trajeto:

1. **Caminhe até** Rua Benedito Leite de Ávila, 450 (0.2 km) - Duração: 3 minutos.
   
2. **Pegue o ônibus** da linha **407P-10** (Terminal Cidade Tiradentes / Tatuapé) em direção ao Tatuapé.
   - **Saída:** Rua Benedito Leite de Ávila, 450
   - **Chegada:** Rua Dr. Luiz Aires, 1261 - Parada Maciel Monteiro B/C
   - **Duração:** 26 minutos
   - **Horário de saída:** 8:53 AM
   - **Horário de chegada:** 9:19 AM

3. **Pegue o ônibus** da linha **4310-10** (Estação de Transferência Itaquera / Terminal Parque Dom Pedro II) em direção ao Terminal Parque Dom Pedro II.
   - **Saída:** Rua Dr. Luiz Aires, 1261 - Parada Maciel Monteiro B/C
   - **Chegada:** Parque Dom Pedro II, 766
   - **Duração:** 44 minutos
   - **Horário de saída:** 9:23 AM
   - **Horário de chegada:** 10:07 AM

4. **Caminhe até** o Terminal Parque Dom Pedro II (0.1 km) - Duração: 1 minuto.

**Duração total estimada:** 1 hora e 18 minutos.",monoagente,5.327,consultar_rota,consultar_rota,,2026-06-30T08:49:35.499047,2026-06-30T08:49:40.834620,rota,,,,,,,2026-06-30T08:49:34.739435,2026-06-30T08:49:35.499047,,,78,26.23,1,407P-10|4310-10,"Rua Benedito Leite de Ávila, 450|Rua Dr. Luiz Aires, 1261 - Parada Maciel Monteiro B/C","Rua Dr. Luiz Aires, 1261 - Parada Maciel Monteiro B/C|Parque Dom Pedro II, 766",,,,,,,1,0.95,1.0,,,5.3356,1.0,0.983333
R026,rota,"Quero ir de ônibus da Avenida São Miguel, 5550, em Ermelino Matarazzo, até o Terminal Penha.","Para ir de ônibus da Avenida São Miguel, 5550, em Ermelino Matarazzo até o Terminal Penha, você pode seguir este trajeto:

1. **Caminhe até a Av. São Miguel, 5267** (0.4 km) - Duração: 6 minutos.
2. **Pegue o ônibus**:
   - **Linha**: 2666-10 - Jardim Camargo Velho / Terminal Parque Dom Pedro II
   - **Sentido**: Terminal Parque Dom Pedro II
   - **Horário de saída**: 8:57 AM
   - **Duração do trajeto**: 25 minutos (7.6 km).
   - **Desça na Rua Carlos Meira, 72**.
3. **Caminhe até o Terminal Penha** (0.4 km) - Duração: 5 minutos.

**Duração total do trajeto**: aproximadamente 37 minutos.",monoagente,4.3401,consultar_rota,consultar_rota,,2026-06-30T08:49:41.915883,2026-06-30T08:49:46.255741,rota,,,,,,,2026-06-30T08:49:40.836375,2026-06-30T08:49:41.915883,,,32,8.76,0,1177-10,"Av. Águia de Haia, 4366","Rua Carlos Meira, 72",,,,,,,1,0.93,1.0,,,4.3399,1.0,0.976667
R027,rota,"Qual trajeto de ônibus faço do Largo do Rosário, na Penha, até o Terminal Parque Dom Pedro II?","Para ir do Largo do Rosário, na Penha, até o Terminal Parque Dom Pedro II, você pode seguir o seguinte trajeto:

1. **Caminhe até a Rua Cap. Avelino Carneiro, 233 - Parada Avelino Carneiro** (0.3 km) - Duração: 5 minutos.
2. **Pegue o ônibus** da linha **2552-10 - Vila Mara / Terminal Parque Dom Pedro II** em direção ao Terminal Parque Dom Pedro II (9.9 km) - Duração: 33 minutos.

**Horário de saída do ônibus:** 8:55 AM  
**Horário de chegada ao terminal:** 9:28 AM

A duração total do trajeto é de aproximadamente 38 minutos.",monoagente,3.9689,consultar_rota,consultar_rota,,2026-06-30T08:49:47.216856,2026-06-30T08:49:51.190617,rota,,,,,,,2026-06-30T08:49:46.255741,2026-06-30T08:49:47.216856,,,38,10.27,0,2552-10,"Rua Cap. Avelino Carneiro, 233 - Parada Avelino Carneiro",Terminal Parque Dom Pedro II,,,,,,,1,0.975,1.0,,,3.9738,1.0,0.991667
R028,rota,"Como ir de ônibus da Avenida Waldemar Carlos Pereira, 1700, na Vila Matilde, até o Terminal Aricanduva?","Para ir de ônibus da Avenida Waldemar Carlos Pereira, 1700, na Vila Matilde até o Terminal Aricanduva, você pode seguir este trajeto:

1. Pegue o ônibus da linha **403A-10 - CPTM José Bonifácio / Terminal Penha** na parada próxima (Av. Waldemar Carlos Pereira, 1693).
   - **Duração do trajeto**: aproximadamente 27 minutos.
   - **Horário de saída**: 8:56 AM.
   - **Horário de chegada**: 9:20 AM.

2. Após descer do ônibus, você precisará caminhar cerca de 0,4 km até o Terminal Aricanduva.
   - **Duração da caminhada**: aproximadamente 5 minutos.

**Duração total do trajeto**: cerca de 29 minutos. 

A distância total é de 7,5 km.",monoagente,5.1545,consultar_rota,consultar_rota,,2026-06-30T08:49:51.989887,2026-06-30T08:49:57.145818,rota,,,,,,,2026-06-30T08:49:51.192668,2026-06-30T08:49:51.989887,,,29,7.49,0,403A-10,"Av. Waldemar Carlos Pereira, 1693","Rua Guaiaúna, 149",,,,,,,1,0.97,1.0,,,5.1559,1.0,0.990000
R029,rota,"Me mostre uma rota de ônibus do Terminal Carrão até o MASP, na Avenida Paulista.","Aqui está a rota de ônibus do Terminal Carrão até o MASP, na Avenida Paulista:

1. **Caminhada**: Vá até o Terminal Carrão (76 m) - Duração: 1 min.
2. **Ônibus**: Pegue o ônibus da linha **4315-10** (Terminal Vila Carrão / Terminal Parque Dom Pedro II via Aricanduva-Radial Leste) - Duração: 42 mins.
   - **Saída**: 8:54 AM
   - **Chegada**: 9:36 AM
3. **Caminhada**: Vá até o Terminal Parque Dom Pedro II (49 m) - Duração: 2 mins.
4. **Ônibus**: Pegue o ônibus da linha **5185-10** (Terminal Guarapiranga / Terminal Parque Dom Pedro II) - Duração: 11 mins.
   - **Saída**: 9:45 AM
   - **Chegada**: 9:55 AM
5. **Caminhada**: Vá até a Av. Paulista, 500 (0.3 km) - Duração: 4 mins.
6. **Ônibus**: Pegue o ônibus da linha **775P-10** (Jardim Guaraú / ↕ Ana Rosa) - Duração: 3 mins.
   - **Saída**: 10:03 AM
   - **Chegada**: 10:06 AM
7. **Caminhada**: Vá até o MASP, na Av. Paulista, 1578 (0.2 km) - Duração: 3 mins.

**Duração total da viagem**: aproximadamente 1 hora e 17 minutos.",monoagente,6.7181,consultar_rota,consultar_rota,,2026-06-30T08:49:58.199172,2026-06-30T08:50:04.915839,rota,,,,,,,2026-06-30T08:49:57.149098,2026-06-30T08:49:58.199172,,,77,18.93,2,4315-10|5185-10|775P-10,"Terminal Carrão|Terminal Parque Dom Pedro II|Av. Paulista, 500","Terminal Parque Dom Pedro II|Av. Brg. Luís Antônio, 2060 - Parada Avenida Paulista|Av. Paulista, 1374",,,,,,,1,0.975,1.0,,,6.7167,1.0,0.991667
R030,rota,Como chegar de ônibus do Shopping Aricanduva até o Terminal Tatuapé?,"Para chegar do Shopping Aricanduva até o Terminal Tatuapé de ônibus, siga este trajeto:

1. **Caminhe até** Av. dos Latinos, 569 (0.9 km) - Duração: 12 minutos.
2. **Pegue o ônibus** da linha **407Y-10** (Parque Savoy City / Vila Prudente) em direção a Vila Prudente.
   - **Saída:** 9:02 AM
   - **Chegada:** 9:13 AM
   - **Parada:** Av. dos Nacionalistas, 347.
3. **Transfira para o ônibus** da linha **574W-10** (Jardim Walkíria / Belém) em direção a Belém.
   - **Saída:** 9:18 AM
   - **Chegada:** 9:43 AM
   - **Parada:** Av. Regente Feijó, 949.
4. **Caminhe até** R. Mal. Barbacena, 1416 - Tatuapé (0.7 km) - Duração: 11 minutos.

**Duração total estimada:** 1 hora e 4 minutos.",monoagente,5.9185,consultar_rota,consultar_rota,,2026-06-30T08:50:05.898935,2026-06-30T08:50:11.811048,rota,,,,,,,2026-06-30T08:50:04.915839,2026-06-30T08:50:05.898935,,,63,12.31,0,407A-10,Av. Principal Leste - Shopping Interlar Aricanduva,"Av. Regente Feijó, 949",,,,,,,1,0.38,1.0,,,5.9121,1.0,0.793333
R031,rota,"Como ir de ônibus, com menos caminhada, do Terminal Santana até o MASP, na Avenida Paulista?","Para ir de ônibus do Terminal Santana até o MASP na Avenida Paulista, com menos caminhada, siga este trajeto:

1. **Caminhe até o Terminal Metrô Santana** (0.1 km) - Duração: 1 minuto.
2. **Pegue o ônibus**:
   - **Linha**: 106A-10 - Santana / Itaim Bibi
   - **Sentido**: Itaim Bibi
   - **Horário de saída**: 8:55 AM
   - **De**: Terminal Metrô Santana
   - **Para**: Getúlio Vargas C/B 2
   - **Duração**: 29 minutos.
3. **Caminhe até o MASP** (Av. Paulista, 1578 - Bela Vista, São Paulo) (0.4 km) - Duração: 8 minutos.

**Duração total**: 38 minutos.",monoagente,5.0283,consultar_rota,consultar_rota,,2026-06-30T08:50:12.413908,2026-06-30T08:50:17.445430,rota,,,,,,,2026-06-30T08:50:11.811048,2026-06-30T08:50:12.413908,,,38,9.02,0,106A-10,Terminal Metrô Santana,Getúlio Vargas C/B 2,,,,,,,1,0.75,1.0,,,5.0315,1.0,0.916667
R032,rota,"Qual rota de ônibus faço da Praça Centenário da Casa Verde até o Largo da Batata, em Pinheiros?","A rota de ônibus da Praça Centenário da Casa Verde até o Largo da Batata, em Pinheiros, é a seguinte:

1. **Caminhada**: Vá até Rua Carandaí, 322 (0.2 km) - Duração: 3 mins.
2. **Ônibus**: Pegue o ônibus da linha **175P-10** (Santana / Ana Rosa) em direção a Ana Rosa.
   - **Saída**: Rua Carandaí, 322
   - **Chegada**: Av. Mário de Andrade, 320
   - **Duração**: 11 mins (9:03 AM - 9:17 AM).
3. **Caminhada**: Vá até Av. Mário de Andrade, 401 (0.1 km) - Duração: 2 mins.
4. **Ônibus**: Pegue o ônibus da linha **208M-10** (Santana / Terminal Pinheiros) em direção ao Terminal Pinheiros.
   - **Saída**: Av. Mário de Andrade, 401
   - **Chegada**: Rua Baltazar Carrasco, 128 - Parada Cristóvão Gonçalves
   - **Duração**: 24 mins (9:23 AM - 9:47 AM).
5. **Caminhada**: Vá até Av. Brig. Faria Lima, S/N - Pinheiros, São Paulo - SP (0.3 km) - Duração: 4 mins.

**Duração total**: 51 mins  
**Distância total**: 10.3 km",monoagente,8.1042,consultar_rota,consultar_rota,,2026-06-30T08:50:18.883403,2026-06-30T08:50:26.983159,rota,,,,,,,2026-06-30T08:50:17.449049,2026-06-30T08:50:18.883403,,,51,10.26,1,175P-10|208M-10,"Rua Carandaí, 322|Av. Mário de Andrade, 401","Av. Mário de Andrade, 320|Rua Baltazar Carrasco, 128 - Parada Cristóvão Gonçalves",,,,,,,1,0.95,1.0,,,8.0998,1.0,0.983333
R033,rota,Como chegar de ônibus do Largo da Matriz de Nossa Senhora do Ó até o Terminal Barra Funda?,"Para chegar do Largo da Matriz de Nossa Senhora do Ó até o Terminal Barra Funda de ônibus, siga este trajeto:

1. **Caminhe até a Rua Bonifácio Cubas, 55 - Parada 2/Clipper** (0.6 km) - Duração: 8 minutos.
2. **Pegue o ônibus**:
   - **Linha**: 9785-10 - Vila Terezinha / Barra Funda
   - **Duração**: 25 minutos
   - **Horário de saída**: 8:59 AM
   - **Horário de chegada**: 9:28 AM
   - **Parada de embarque**: Rua Bonifácio Cubas, 55 - Parada 2/Clipper
   - **Parada de desembarque**: Av. Auro Soares De Moura Andrade, 0.
3. **Caminhe até o Terminal Rodoviário Barra Funda** (0.2 km) - Duração: 3 minutos.

A duração total da viagem é de aproximadamente 40 minutos.",monoagente,4.8107,consultar_rota,consultar_rota,,2026-06-30T08:50:27.833776,2026-06-30T08:50:32.647117,rota,,,,,,,2026-06-30T08:50:26.983159,2026-06-30T08:50:27.833776,,,36,8.01,0,9785-10,"Rua Bonifácio Cubas, 55 - Parada 2/Clipper","Av. Auro Soares De Moura Andrade, 0",,,,,,,1,0.75,1.0,,,4.8133,1.0,0.916667
R034,rota,Quero ir de ônibus do Terminal Brasilândia até o Terminal Barra Funda.,"Para ir do Terminal Brasilândia até o Terminal Barra Funda de ônibus, siga este trajeto:

1. **Caminhe até Estrada do Sabão, 1547** (0.2 km) - Duração: 4 minutos.
2. **Pegue o ônibus**:
   - **Linha**: 9785-10 - Vila Terezinha / Barra Funda
   - **Duração**: 40 minutos (12.1 km)
   - **Horário de saída**: 8:57 AM
   - **Horário de chegada**: 9:37 AM
3. **Caminhe até o Terminal Rodoviário Barra Funda** (0.2 km) - Duração: 3 minutos.

A duração total da viagem é de aproximadamente 47 minutos.",monoagente,5.269,consultar_rota,consultar_rota,,2026-06-30T08:50:33.379893,2026-06-30T08:50:38.646907,rota,,,,,,,2026-06-30T08:50:32.647117,2026-06-30T08:50:33.379893,,,47,12.49,0,9785-10,"Estr. do Sabão, 1547","Av. Auro Soares De Moura Andrade, 0",,,,,,,1,0.72,1.0,,,5.267,1.0,0.906667
R035,rota,Como ir de ônibus do Terminal Tucuruvi até o Hospital das Clínicas da FMUSP?,"Para ir de ônibus do Terminal Tucuruvi até o Hospital das Clínicas da FMUSP, siga este trajeto:

1. **Caminhe** até Av. Luiz Dumont Villares, 2425 (0.2 km) - Duração: 4 minutos.
2. **Pegue o ônibus** da linha **1701-10 - Jova Rural / Santana** em direção a Santana.
   - **Saída**: 9:01 AM
   - **Chegada**: 9:11 AM
   - **Distância**: 3.4 km
3. **Caminhe** até Rua Ezequiel Freire, 77 (0.1 km) - Duração: 2 minutos.
4. **Pegue o ônibus** da linha **701U-10 - Santana / Cidade Universitária via Consolação** em direção à Cidade Universitária.
   - **Saída**: 9:21 AM
   - **Chegada**: 9:42 AM
   - **Distância**: 5.9 km
5. **Pegue o ônibus** da linha **7545-10 - Jardim João XXIII / Praça Ramos de Azevedo** em direção a Clínicas C/B.
   - **Saída**: 9:46 AM
   - **Chegada**: 9:54 AM
   - **Distância**: 2.7 km
6. **Caminhe** até o Hospital das Clínicas, localizado na R. Dr. Ovídio Pires de Campos, 225 (0.3 km) - Duração: 5 minutos.

**Duração total estimada**: 1 hora e 1 minuto.",monoagente,5.875,consultar_rota,consultar_rota,,2026-06-30T08:50:39.658266,2026-06-30T08:50:45.531413,rota,,,,,,,2026-06-30T08:50:38.646907,2026-06-30T08:50:39.658266,,,61,12.65,2,1701-10|701U-10|7545-10,"Av. Luiz Dumont Villares, 2425|Rua Ezequiel Freire, 77|Antônia de Queirós C/B","Av. Gen. Ataliba Leonel, 379|Antônia de Queirós C/B|Clínicas C/B",,,,,,,1,0.975,1.0,,,5.8731,1.0,0.991667
R036,rota,Qual trajeto de ônibus faço do Terminal Jaçanã até o Terminal Parque Dom Pedro II?,"O trajeto de ônibus do Terminal Jaçanã até o Terminal Parque Dom Pedro II é o seguinte:

1. **Caminhada**: Ande até a Av. Luís Stamatis (0.1 km) - Duração: 2 minutos.
2. **Ônibus**: Pegue o ônibus da linha **042VP1 - Mairiporã (Terminal Rodoviário Cidade Bonita Siguemi Aiacyda) / São Paulo (Terminal Rodoviário Tietê) via Metrô Tucuruvi**. 
   - **Saída**: Av. Luís Stamatis
   - **Chegada**: Av. Cruzeiro do Sul, 1877
   - **Duração**: 27 minutos.
   - **Horário de saída**: 8:57 AM
   - **Horário de chegada**: 9:24 AM
3. **Ônibus**: Em seguida, pegue o ônibus da linha **2104-10 - Santana / Terminal Parque Dom Pedro II**.
   - **Saída**: Av. Cruzeiro do Sul, 1877
   - **Chegada**: Terminal Parque Dom Pedro II
   - **Duração**: 18 minutos.
   - **Horário de saída**: 9:28 AM
   - **Horário de chegada**: 9:46 AM
4. **Caminhada**: Ande até o Terminal Parque Dom Pedro II (0.2 km) - Duração: 4 minutos.

**Duração total do trajeto**: aproximadamente 55 minutos.",monoagente,6.3764,consultar_rota,consultar_rota,,2026-06-30T08:50:46.475971,2026-06-30T08:50:52.851011,rota,,,,,,,2026-06-30T08:50:45.536461,2026-06-30T08:50:46.475971,,,53,13.88,1,042|218,"Av. Luís Stamatis, 657|Av. Cruzeiro do Sul, 1877","Av. Cruzeiro do Sul, 1877|Parque Dom Pedro II, 450",,,,,,,1,0.905,1.0,,,6.375,1.0,0.968333
R037,rota,Como chegar de ônibus do Terminal Pirituba até o Shopping Tietê Plaza?,"Para chegar do Terminal Pirituba até o Shopping Tietê Plaza de ônibus, siga este trajeto:

1. **Caminhe até o Terminal Pirituba** (0.1 km) - Duração: 3 minutos.
2. **Pegue o ônibus**:
   - **Linha**: 8100-10 - Terminal Pirituba / Terminal Lapa via Raimundo Pereira
   - **Duração**: 16 minutos
   - **Saída**: Terminal Pirituba
   - **Chegada**: Av. Raimundo Pereira de Magalhães, 1465
3. **Caminhe até o Shopping Tietê Plaza** (0.2 km) - Duração: 1 minuto.

A duração total da viagem é de aproximadamente 20 minutos.",monoagente,3.668,consultar_rota,consultar_rota,,2026-06-30T08:50:53.839431,2026-06-30T08:50:57.515115,rota,,,,,,,2026-06-30T08:50:52.851011,2026-06-30T08:50:53.839431,,,11,3.76,0,361,"Av. Raimundo Pereira de Magalhães, 5215 - Parada Agarum C/B","Av. Raimundo Pereira de Magalhães, 1465",,,,,,,1,0.93,1.0,,,3.6757,1.0,0.976667
R038,rota,Me indique uma rota de ônibus do Terminal Jaraguá até o Terminal Pirituba.,"A rota de ônibus do Terminal Jaraguá até o Terminal Pirituba é a seguinte:

1. **Caminhada**: Vá até Av. Jerimanduba, 209 (0.4 km) - Duração: 5 mins
2. **Ônibus**: Pegue o ônibus da linha **8594-10 - Cidade d’Abril / Praça Ramos de Azevedo** em direção à Praça Ramos de Azevedo.
   - **Saída**: 9:02 AM
   - **Chegada**: 9:14 AM
   - **Distância**: 3.6 km
3. **Ônibus**: Em seguida, pegue o ônibus da linha **8017-10 - CPTM Vila Aurora / Terminal Pirituba** em direção ao Terminal Pirituba.
   - **Saída**: 9:22 AM
   - **Chegada**: 9:40 AM
   - **Distância**: 6.3 km
4. **Caminhada**: Caminhe até o Terminal Pirituba (0.1 km) - Duração: 3 mins

**Duração total da viagem**: aproximadamente 46 minutos.",monoagente,5.2168,consultar_rota,consultar_rota,,2026-06-30T08:50:58.250102,2026-06-30T08:51:03.464746,rota,,,,,,,2026-06-30T08:50:57.515115,2026-06-30T08:50:58.250102,,,37,9.64,1,8594-10|361,"Av. Jerimanduba, 209|Av. Raimundo Pereira de Magalhães, 10215","Av. Raimundo Pereira de Magalhães, 10215|Av. Raimundo Pereira de Magalhães, 5215 - Parada Agarum C/B",,,,,,,1,0.41,1.0,,,5.2146,1.0,0.803333
R039,rota,Como ir de ônibus do Terminal Vila Maria até o Mercado Municipal do Brás?,"Para ir de ônibus do Terminal Vila Maria até o Mercado Municipal do Brás, siga este trajeto:

1. **Caminhe até** Av. Guilherme Cotching, 1139 (0.2 km) - Duração: 3 minutos.
2. **Pegue o ônibus** da linha **2182-10 - Jardim Brasil / Praça do Correio** em direção à Praça do Correio.
   - **Duração do trajeto de ônibus**: 26 minutos.
   - **Horário de saída**: 9:02 AM.
   - **Horário de chegada**: 9:28 AM.
3. **Caminhe até** R. da Cantareira, 306 - Centro Histórico de São Paulo (0.2 km) - Duração: 3 minutos.

A duração total da viagem é de aproximadamente 32 minutos.",monoagente,4.7135,consultar_rota,consultar_rota,,2026-06-30T08:51:04.265170,2026-06-30T08:51:08.985906,rota,,,,,,,2026-06-30T08:51:03.464746,2026-06-30T08:51:04.265170,,,34,7.32,0,2182-10,"Av. Guilherme Cotching, 1551","Av. Sen. Queirós, Oposto Nº 586",,,,,,,1,0.945,1.0,,,4.7207,1.0,0.981667
R040,rota,Quero ir de ônibus do Shopping Center Norte até o Terminal Santana.,"Para ir do Shopping Center Norte até o Terminal Santana, você pode seguir este trajeto:

1. **Caminhe** até o ponto final da linha 1745, que fica na Av. Otto Baumgart, 490 (0.2 km) - Duração: 3 minutos.
2. **Pegue o ônibus** da linha **1745-10** (Vila Nova Cachoeirinha / Shopping Center Norte) em direção a Vila Nova Cachoeirinha. A viagem de ônibus é de 2.7 km e leva cerca de 13 minutos.
   - **Horário de saída**: 8:55 AM
   - **Horário de chegada**: 9:07 AM
3. **Caminhe** até o Terminal Santana (0.2 km) - Duração: 2 minutos.

A duração total do trajeto é de aproximadamente 18 minutos.",monoagente,4.5853,consultar_rota,consultar_rota,,2026-06-30T08:51:09.805132,2026-06-30T08:51:14.387936,rota,,,,,,,2026-06-30T08:51:08.985906,2026-06-30T08:51:09.805132,,,18,3.11,0,971D-10,"Av. Otto Baumgart, 560 - Ponto Final da Linha 971d","Av. Cruzeiro do Sul, 3200 - Parada 2/Metrô Santana",,,,,,,1,0.875,1.0,,,4.5828,1.0,0.958333
R041,rota,"Como chegar de ônibus da Rua da Mooca, 2000, até o Mercado Municipal de São Paulo?","Para chegar de ônibus da Rua da Mooca, 2000 até o Mercado Municipal de São Paulo, siga este trajeto:

1. **Caminhe até a Rua João Antônio de Oliveira, 155** (0.1 km) - Duração: 2 minutos.
2. **Pegue o Trolebus** na linha **3160-10** (Terminal Vila Prudente / Terminal Parque Dom Pedro II) em direção ao Terminal Parque Dom Pedro II. 
   - Duração: 17 minutos.
   - Horário de saída: 8:53 AM.
   - Horário de chegada: 9:08 AM.
3. **Caminhe até o Mercado Municipal** (R. da Cantareira, 306) (0.6 km) - Duração: 8 minutos.

A duração total da viagem é de aproximadamente 25 minutos.",monoagente,4.6354,consultar_rota,consultar_rota,,2026-06-30T08:51:15.214758,2026-06-30T08:51:19.850853,rota,,,,,,,2026-06-30T08:51:14.387936,2026-06-30T08:51:15.214758,,,22,4.15,1,2101-10|5630-10,"Rua João Antônio de Oliveira, 155|Av. Alcântara Machado, 351","Av. Alcântara Machado, 351|Av. Sen. Queirós, Oposto Nº 586",,,,,,,1,0.875,1.0,,,4.6361,1.0,0.958333
R042,rota,"Qual caminho de ônibus faço da Rua Vergueiro, 1000, até a Rua Cardeal Arcoverde, 2026?","Para ir da Rua Vergueiro, 1000 até a Rua Cardeal Arcoverde, 2026, siga este trajeto:

1. **Caminhe até Av. Bernardino de Campos, 159** (0.6 km) - Duração: 9 minutos.
2. **Pegue o ônibus**:
   - **Linha**: 175P-10 - ↕ Santana / ↕ Ana Rosa
   - **Sentido**: Santana
   - **Saída**: Av. Bernardino de Campos, 159
   - **Chegada**: Av. Dr. Arnaldo, 188
   - **Duração**: 10 minutos (9:02 AM - 9:12 AM).
3. **Pegue o ônibus**:
   - **Linha**: 701U-10 - ↕ Santana / Cidade Universitária via Consolação
   - **Sentido**: Cidade Universitária
   - **Saída**: Av. Dr. Arnaldo, 188
   - **Chegada**: Rua Cardeal Arcoverde, 2026
   - **Duração**: 10 minutos (9:16 AM - 9:28 AM).

**Duração total**: aproximadamente 35 minutos.",monoagente,7.5383,consultar_rota,consultar_rota,,2026-06-30T08:51:20.693111,2026-06-30T08:51:28.230109,rota,,,,,,,2026-06-30T08:51:19.850853,2026-06-30T08:51:20.693111,,,27,6.68,0,378,"Av. Bernardino de Campos, 159","Rua Cardeal Arcoverde, 2026",,,,,,,1,0.88,1.0,,,7.537,1.0,0.960000
